ConstraintLevel,TargetReduction,AchievedReduction,UnrealizedReduction_Percent
10,116,116,0.00
20,116,116,0.00
30,116,116,0.00
40,116,116,0.00
50,116,116,0.00
60,116,108,6.90
70,116,78,32.76
80,116,50,56.90
90,116,20,82.76
