Step,PowerLevel,ConvergenceTime_ms
1,940.00,1014
2,880.00,1014
3,820.00,1012
4,760.00,1013
5,700.00,1015
6,640.00,1012
7,580.00,1010
8,520.00,1009
9,460.00,1011
10,400.00,1012
